Pop	Tree	Family	State	Region	Date	Latitude	Longitude	Elevation	DBH
AB	05	AB_05	TN	E	09002016	35.55297	83.49438	1812	57.7
AB	08	AB_08	TN	E	09002016	35.55212	83.49259	1785	44.3
AB	12	AB_12	TN	E	09002016	35.5389	83.49463	1750	36.8
AB	16	AB_16	TN	E	09002016	35.53882	83.49534	1738	44.0
AB	18	AB_18	TN	E	09002016	35.53945	83.49375	1769	68.2
ALB	01	ALB_01	ME	C	11112017	44.30670	70.84019	455	28.1
ALB	02	ALB_02	ME	C	11112017	44.30564	70.84081	524	11.3
ALB	03	ALB_03	ME	C	11112017	44.30359	70.84096	523	19.9
ALB	05	ALB_05	ME	C	11112017	44.30182	70.83729	573	11.9
ALB	06	ALB_06	ME	C	11112017	44.30061	70.83641	589	12.3
APP	01	APP_01	VT	C	09022017	44.20933	72.92950	743	6.3
APP	02	APP_02	VT	C	09022017	44.21172	72.92999	780	4.4
APP	03	APP_03	VT	C	09022017	44.22097	72.92639	896	9.0
APP	04	APP_04	VT	C	09292017	44.21140	72.93122	741	9.3
APP	05	APP_05	VT	C	09272017	44.21034	72.93051	733	26.3
APP	06	APP_06	VT	C	09272017	44.21235	72.93502	658	25.0
ASC	01	ASC_01	VT	C	10162017	43.43787	72.45218	883	20.0
ASC	02	ASC_02	VT	C	10162017	43.43983	72.45328	847	14.2
ASC	03	ASC_03	VT	C	10162017	43.44192	72.45589	861	26.0
ASC	04	ASC_04	VT	C	10162017	43.44260	72.45713	870	19.5
ASC	05	ASC_05	VT	C	10162017	43.44376	72.45867	879	18.3
ASC	06	ASC_06	VT	C	10162017	43.44379	72.45434	967	21.7
B	02	B_02	VT	C	02192016	44.10929	73.0714	311	
B	03	B_03	VT	C	02192016	44.10897	73.0712	325	
B	04	B_04	VT	C	02192016	44.10908	73.0713	328	
B	05	B_05	VT	C	02192016	44.10836	73.0715	310	
B	06	B_06	VT	C	02192016	44.10889	73.0714	321	
BAL	01	BAL_01	NY	C	08302017	44.15280	73.64591	570	4.8
BAL	02	BAL_02	NY	C	08302017	44.15170	73.65127	620	33.0
BAL	03	BAL_03	NY	C	08302017	44.15337	73.65371	650	13.5
BAL	04	BAL_04	NY	C	08302017	44.15409	73.65688	670	26.7
BAL	05	BAL_05	NY	C	08302017	44.15415	73.65799	698	22.0
BAL	10	BAL_10	NY	C	08302017	44.16008	73.66681	918	6.7
BBE	01	BBE_01	NH	C	10132017	43.83596	71.55484	365	30.5
BBE	02	BBE_02	NH	C	10132017	43.83457	71.54906	368	24.1
BBE	03	BBE_03	NH	C	10142017	43.83484	71.53966	373	25.4
BBE	04	BBE_04	NH	C	10142017	43.83367	71.53963	383	23.5
BBE	05	BBE_05	NH	C	10142017	43.83176	71.54305	374	29.0
BER	01	BER_01	ME	C	11262017	44.69079	70.37595	481	7.6
BER	02	BER_02	ME	C	11262017	44.69043	70.37637	487	11.1
BER	03	BER_03	ME	C	11262017	44.68987	70.37686	482	9.0
BER	04	BER_04	ME	C	11262017	44.68953	70.37609	487	4.5
BER	05	BER_05	ME	C	11262017	44.68899	70.37624	492	8.0
BER	06	BER_06	ME	C	11262017	44.68834	70.37627	496	14.3
BFA	01	BFA_01	WV	E	09282017	38.47660	79.72290	1348	21.8
BFA	02	BFA_02	WV	E	09282017	38.47666	79.71849	1325	14.6
BFA	03	BFA_03	WV	E	09282017	38.47696	79.71696	1336	37.2
BFA	04	BFA_04	WV	E	09282017	38.47797	79.71650	1333	21.6
BFA	05	BFA_05	WV	E	09282017	38.47892	79.71738	1328	65.6
BLA	01	BLA_01	PA	M	09132017	41.11477	75.59536	475	48.1
BLA	02	BLA_02	PA	M	09132017	41.11296	75.59274	499	25.3
BLA	03	BLA_03	PA	M	09132017	41.11094	75.58869	513	34.7
BLA	04	BLA_04	PA	M	09132017	41.11113	75.58817	513	58.7
BLA	05	BLA_05	PA	M	09132017	41.11547	75.59589	510	30.6
BRA	01	BRA_01	PA	M	09132017	41.15817	75.53619	520	37.6
BRA	02	BRA_02	PA	M	09132017	41.15854	75.53651	531	18.5
BRA	03	BRA_03	PA	M	09132017	41.16102	75.53809	528	24.3
BRA	04	BRA_04	PA	M	09132017	41.16406	75.54375	531	15.1
